id,Subject,YearGroup,Term1Knowledge,Term1Skills,Term2Knowledge,Term2Skills,Term3Knowledge,Term3Skills,Term4Knowledge,Term4Skills,Term5Knowledge,Term5Skills,Term6Knowledge,Term6Skills,Assessment,LiteracyNumeracy,PersonalDevelopment,HomeLearning,Term1Assessment,Term2Assessment,Term3Assessment,Term4Assessment,Term5Assessment,Term6Assessment
380,English,Year 8,,,Poetry: Portraits Of People (Pre and Post 1900),"Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,,,,,,,,,"Revision of previous year & adverbs, comparative and superlative adjectives, nouns, plural nouns, apostrophes and contractions.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
381,English,Year 8,,,,,Shakespeare: Tempest / A Midsummer Night’s Dream,"Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,,,,,,,"Revision of previous year & compound/complex sentences, embedding clauses, conjunctive adverbs and semi colons.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
382,English,Year 8,,,,,,,Non-Fiction: Travels and Tribulations,"Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,,,,,"Revision of previous year & compound/complex sentences, embedding clauses, conjunctive adverbs and semi colons.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
383,English,Year 8,,,,,,,,,Science Fiction: Study of extracts and short stories,"Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,,,"Revision of previous year & connections between sentences, proofreading, drafting & rewriting.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
384,English,Year 8,,,,,,,,,,,Study of a Novel: A Monster Calls by Patrick Ness (Author Study),"Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,"Revision of previous year & connections between sentences, proofreading, drafting & rewriting.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
385,English,Year 9,"Baseline Assessment, AR Tests (3 weeks), Stone Cold – Robert Swindells","Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,,,,,,,,,,,"Revision of previous years & subject, direct object, indirect object, the passive, auxiliary verbs, participles & word endings.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
386,English,Year 9,,,"Poetry: World War 1 Poetry, Author/Poet Study – WW1","Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,,,,,,,,,"Revision of previous years & subject, direct object, indirect object, the passive, auxiliary verbs, participles & word endings.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
387,English,Year 9,,,,,Shakespeare: Macbeth,"Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,,,,,,,"Revision of previous years & restrictive and non-restrictive clauses, comma placement, colons, hyphens and punctuating speech.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
388,English,Year 9,,,,,,,Of Mice and Men – Steinbeck (Author Study),"Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,,,,,"Revision of previous years & restrictive and non-restrictive clauses, comma placement, colons, hyphens and punctuating speech.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
389,English,Year 9,,,,,,,,,"Non-Fiction: Prejudice and Protest, Writing is Fighting","Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,,,"Revision of previous years & text, purpose and audience.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
390,English,Year 9,,,,,,,,,,,Short Stories: Jekyll and Hyde,"Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,"Revision of previous years & text, purpose and audience.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
391,English,Year 10,"Baseline Assessment, AR Tests (3 weeks), An Inspector Calls – J B Priestley","Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,,,,,,,,,,,"Text structure, coherence, language for effect.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
392,English,Year 10,,,Conflict Poetry – study of a selection of poems,"Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,,,,,,,,,"Text structure, coherence, language for effect.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
393,English,Year 10,,,,,The Strange Case of Dr Jekyll and Mr Hyde – R L Stevenson,"Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,,,,,,,"Text structure, coherence, language for effect.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
394,English,Year 10,,,,,,,Shakespeare: Romeo and Juliet,"Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,,,,,"Text structure, coherence, language for effect.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
395,English,Year 10,,,,,,,,,Shakespeare: Romeo and Juliet,"Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,,,"Text structure, coherence, language for effect.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
396,English,Year 10,,,,,,,,,,,Unseen Poetry: A study of a selection of unseen poems,"Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,"Text structure, coherence, language for effect.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
397,English,Year 11,"Baseline Assessment, AR Tests (3 weeks), Non-Fiction: Writers’ Viewpoints and Perspectives","Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,,,,,,,,,,,"Text structure, coherence, language for effect.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
398,English,Year 11,,,Macbeth – William Shakespeare,"Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,,,,,,,,,"Text structure, coherence, language for effect.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
399,English,Year 11,,,,,A Christmas Carol – Charles Dickens (Author Study),"Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,,,,,,,"Text structure, coherence, language for effect.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
400,English,Year 11,,,,,,,Unseen Poetry: A study of a selection of unseen poems,"Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,,,,,"Text structure, coherence, language for effect.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
401,English,Year 11,,,,,,,,,Revision of GCSE content,"Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,,,"Text structure, coherence, language for effect.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
402,English,Year 11,,,,,,,,,,,Revision of GCSE content,"Working with the chronological order of sequencing and events. Calculating how many years ago from the present day some texts were written. Non-Fiction texts interpreting factual language and statistics for meaning for meaning, such as speed or temperature.",,"Text structure, coherence, language for effect.","Spiritual: Understanding the value of relationships, Encouraging self-awareness, Experience opportunities for creativity, Develop an understanding of others, Develop a caring attitude towards others, Opportunities to be inquisitive, Recognising & accepting difference & diversity. Moral: Promoting equality & diversity, Providing opportunities to explore right & wrong / practice moral decision making, Recognising & respecting the moral codes of other cultures. Social: Encouraging pupils to work co-operatively, Providing conceptual and linguistic framework for debate, Opportunities to exercise leadership and responsibility. Cultural: Understand & recognise own cultural assumptions, Understand the influences of our cultural heritage, Openness to new ideas and to modify thinking to accommodate them, Opportunities for personal enrichment through cultural experiences, Willingness to participate in cultural activities & enterprises, Regard for heights of human achievements in all cultures & societies.",,,,,,,
403,English,Post 16,Advanced study of Literature: Prose – 19th and 20th Century Novel,"Developing numerical skills in analyzing literary patterns, structures, and timelines.",,,,,,,,,,,,"Advanced critical analysis and interpretation of texts, including historical and cultural contexts.","Spiritual: Deepening understanding of self and others through literature, fostering empathy and ethical reflection. Moral: Engaging with moral dilemmas and ethical questions through literature, promoting thoughtful decision making. Social: Enhancing communication skills and understanding of social dynamics through literary discussion and analysis. Cultural: Appreciating diverse cultural perspectives and literary traditions, encouraging open-mindedness and cultural literacy.",,,,,,,
404,English,Post 16,,,Advanced study of Literature: Poetry – Pre-1900 and Post-1900,"Developing numerical skills in analyzing literary patterns, structures, and timelines.",,,,,,,,,,"Advanced critical analysis and interpretation of texts, including historical and cultural contexts.","Spiritual: Deepening understanding of self and others through literature, fostering empathy and ethical reflection. Moral: Engaging with moral dilemmas and ethical questions through literature, promoting thoughtful decision making. Social: Enhancing communication skills and understanding of social dynamics through literary discussion and analysis. Cultural: Appreciating diverse cultural perspectives and literary traditions, encouraging open-mindedness and cultural literacy.",,,,,,,
405,English,Post 16,,,,,Advanced study of Literature: Drama – Shakespeare and Other Playwrights,"Developing numerical skills in analyzing literary patterns, structures, and timelines.",,,,,,,,"Advanced critical analysis and interpretation of texts, including historical and cultural contexts.","Spiritual: Deepening understanding of self and others through literature, fostering empathy and ethical reflection. Moral: Engaging with moral dilemmas and ethical questions through literature, promoting thoughtful decision making. Social: Enhancing communication skills and understanding of social dynamics through literary discussion and analysis. Cultural: Appreciating diverse cultural perspectives and literary traditions, encouraging open-mindedness and cultural literacy.",,,,,,,
406,English,Post 16,,,,,,,Advanced study of Literature: Comparative Texts,"Developing numerical skills in analyzing literary patterns, structures, and timelines.",,,,,,"Advanced critical analysis and interpretation of texts, including historical and cultural contexts.","Spiritual: Deepening understanding of self and others through literature, fostering empathy and ethical reflection. Moral: Engaging with moral dilemmas and ethical questions through literature, promoting thoughtful decision making. Social: Enhancing communication skills and understanding of social dynamics through literary discussion and analysis. Cultural: Appreciating diverse cultural perspectives and literary traditions, encouraging open-mindedness and cultural literacy.",,,,,,,
407,English,Post 16,,,,,,,,,Advanced study of Literature: Literary Theory and Criticism,"Developing numerical skills in analyzing literary patterns, structures, and timelines.",,,,"Advanced critical analysis and interpretation of texts, including historical and cultural contexts.","Spiritual: Deepening understanding of self and others through literature, fostering empathy and ethical reflection. Moral: Engaging with moral dilemmas and ethical questions through literature, promoting thoughtful decision making. Social: Enhancing communication skills and understanding of social dynamics through literary discussion and analysis. Cultural: Appreciating diverse cultural perspectives and literary traditions, encouraging open-mindedness and cultural literacy.",,,,,,,
408,English,Post 16,,,,,,,,,,,Advanced study of Literature: Independent Study and Research,"Developing numerical skills in analyzing literary patterns, structures, and timelines.",,"Advanced critical analysis and interpretation of texts, including historical and cultural contexts.","Spiritual: Deepening understanding of self and others through literature, fostering empathy and ethical reflection. Moral: Engaging with moral dilemmas and ethical questions through literature, promoting thoughtful decision making. Social: Enhancing communication skills and understanding of social dynamics through literary discussion and analysis. Cultural: Appreciating diverse cultural perspectives and literary traditions, encouraging open-mindedness and cultural literacy.",,,,,,,
409,Geography,Year 1,North and South poles & the equator,"Degrees, negative numbers",,,,,,,,,,,,Directional vocabulary,Experience curiosity,,,,,,,
410,Geography,Year 1,,,North and South poles & the equator,"Degrees, negative numbers",,,,,,,,,,Directional vocabulary,Develop an understanding of others,,,,,,,
411,Geography,Year 1,,,,,Orienteering,"Size, shape",,,,,,,,Directional language,Experience the natural world,,,,,,,
412,Geography,Year 1,,,,,,,Orienteering,"Size, shape",,,,,,Directional language,Experience curiosity,,,,,,,
413,Geography,Year 1,,,,,,,,,"Making maps, Fieldwork skills",Maps and grid reference,,,,Descriptive writing,Develop an understanding of others,,,,,,,
414,Geography,Year 1,,,,,,,,,,,"Making maps, Fieldwork skills",Maps and grid reference,,Descriptive writing,Experience the natural world,,,,,,,
415,Geography,Year 2,UK countries and oceans,Description of size using mathematical language,,,,,,,,,,,,Reading - Non fiction,Experience curiosity,,,,,,,
416,Geography,Year 2,,,UK countries and oceans,Description of size using mathematical language,,,,,,,,,,Reading - Non fiction,Develop an understanding of others,,,,,,,
417,Geography,Year 2,,,,,Food around the world,Temperature and degrees,,,,,,,,Descriptive writing,Experience the natural world,,,,,,,
418,Geography,Year 2,,,,,,,Food around the world,Temperature and degrees,,,,,,Descriptive writing,Experience curiosity,,,,,,,
419,Geography,Year 2,,,,,,,,,Hot and cold places of the world,Maps and grid reference,,,,Descriptive writing,Develop an understanding of others,,,,,,,
420,Geography,Year 2,,,,,,,,,,,Hot and cold places of the world,Maps and grid reference,,Descriptive writing,Experience the natural world,,,,,,,
421,Geography,Year 3,"Continents, countries and major cities",Description of size using mathematical language,,,,,,,,,,,,Reading - Non fiction,Experience curiosity,,,,,,,
422,Geography,Year 3,,,"Continents, countries and major cities",Description of size using mathematical language,,,,,,,,,,Reading - Non fiction,Develop an understanding of others,,,,,,,
423,Geography,Year 3,,,,,Types of settlement and land use,Number related to population size,,,,,,,,Research / information gathering.,Experience the natural world,,,,,,,
424,Geography,Year 3,,,,,,,Types of settlement and land use,Number related to population size,,,,,,Research / information gathering.,Experience curiosity,,,,,,,
425,Geography,Year 3,,,,,,,,,Compare UK to a European country,Grid references/ mapping skills,,,,Comparing and contrasting language,Develop an understanding of others,,,,,,,
426,Geography,Year 3,,,,,,,,,,,Compare UK to a European country,Grid references/ mapping skills,,Comparing and contrasting language,Experience the natural world,,,,,,,
427,Geography,Year 4,Different types of mountains,Temperature – reading data,,,,,,,,,,,,Reading – non fiction,Working co-operatively,,,,,,,
428,Geography,Year 4,,,Different types of mountains,Temperature – reading data,,,,,,,,,,Reading – non fiction,Opportunities to be inquisitive,,,,,,,
